https://www.bls.gov/oes/tables.htm,,,,,,,,,,,,,,,,,,,,,
Occupation: Computer and information systems managers,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Year,Mean Hourly Wage,Annual Mean Wage,Median Hourly Wage,Median Weekly Earnings,Annual Median Wage,,,,,,,,,,,,,,
,,2019,43.32,90110,41.89,1676,83780,,,,,,,,,,,,,,
,,2018,42.17,87720,40.65,1626,81300,,,,,,,,,,,,,,
,,2017,41.74,86820,40.13,1605,80260,,,,,,,,,,,,,,
,,2016,41.03,85340,39.58,1583,79160,,,,,,,,,,,,,,
,,2015,39.68,82540,38.54,1542,77080,,,,,,,,,,,,,,
,,2014,38.30,79670,37.43,1497,74860,,,,,,,,,,,,,,
,,2013,37.63,78260,36.86,1474,73720,,,,,,,,,,,,,,
,,2012,37.26,77500,36.26,1450,72520,,,,,,,,,,,,,,
,,2011,36.63,76180,35.29,1412,70580,,,,,,,,,,,,,,
,,2010,36.12,75130,34.61,1384,69220,,,,,,,,,,,,,,
,,2009,36.38,75670,34.80,1392,69600,,,,,,,,,,,,,,
,,2008,36.19,75270,34.62,1385,69240,,,,,,,,,,,,,,
,,2007,35.46,73750,34.07,1363,68140,,,,,,,,,,,,,,
,,2006,33.36,69380,32.06,1282,64120,,,,,,,,,,,,,,
,,2005,31.95,66450,30.80,1232,61600,,,,,,,,,,,,,,
,,2004,32.03,66630,30.86,1234,61720,,,,,,,,,,,,,,
,,2003,30.31,63050,29.15,1166,58300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
