Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average Industry Unemployment
2010,10,10,10.4,9.4,9.8,8.8,10.6,9.7,10.8,9.8,8.8,8.1,9.683333333
2011,7.3,6.7,7.6,7.1,7.3,7.9,7.6,6.9,7.4,6.6,7.4,7.7,7.291666667
2012,7.9,8.4,8,8.3,7.8,7.1,6.7,7.3,7.3,7.7,6.8,8,7.608333333
2013,8.2,5.2,5.2,5.4,6.4,5.6,5.8,6.6,6.6,7.9,6.4,4.8,6.175
2014,6.6,4.8,5.1,5.7,5.5,5.2,4.5,4.5,4.4,4.7,5.6,5.7,5.191666667
2015,4.4,4.5,3,3.2,3.3,3.9,4.1,5.2,4.7,3,4.3,2.9,3.875
2016,4.6,3.7,4.4,4.8,5.2,4.7,5.7,5,5.2,4.1,4.2,3.1,4.558333333
2017,4.9,3.9,4,4.1,4.7,4.8,4.3,5.1,5.1,3.9,5.2,3.8,4.483333333
2018,5.3,3.2,4.1,2.3,3.5,4.6,4.2,3.5,2.3,3.2,3.8,3.9,3.658333333
2019,4.7,4.1,4,3.5,3,2.7,3.9,4.7,4.4,3.3,1.6,1.9,3.483333333
2020,2.3,2.6,1.8,11,10.9,12,12.3,8.6,8.6,5.8,,,7.59
