HOUSEHOLD DATA,,,,,,
NOT SEASONALLY ADJUSTED,,,,,,
A-30. Unemployed persons by occupation and sex [Numbers in thousands],,,,,,
https://www.bls.gov/cps/cpsaat25.htm,,,,,,
https://www.bls.gov/cps/tables.htm,,,,,,
,,,,,,
Occupation: Computer and mathematical occupations,,,,,,
Year,Unemployment rates,,,,,
,Men,Women,,,,
2020,2.7,3.2,,,,
2019,1.8,2.4,,,,
2018,2.1,2.3,,,,
2017,2.3,2.9,,,,
2016,2.3,3.1,,,,
2015,2.5,2.8,,,,
2014,2.7,2.8,,,,
2013,3.4,4.2,,,,
2012,3.3,4.7,,,,
2011,3.8,5,,,,
2010,5.1,5.7,,,,
2009,5.1,5.7,,,,
2008,2.4,3.2,,,,
2007,2.1,2.3,,,,
2006,2.5,2.3,,,,
2005,2.7,3.3,,,,
2004,4,4.5,,,,
2003,5.8,4.6,,,,
2002,5,4.6,,,,
Note:,Tables are not available online for 2000–2001. The tables that were originally published for 2000–2001 contained data using 1990 Census population controls.,,,,,
,"The data for 2000–2001 were later revised to incorporate Census 2000-based population controls, but the online tables were not re-issued with revised data.",,,,,
